geoid,b19013001,b19013001_moe
14000US01009050400,43191,8330
14000US01009050500,45000,9239
14000US01009050601,54191,13683
14000US01013952800,51058,10250
14000US01013952900,39401,6022
14000US01013953000,41979,10947
14000US01013953100,26977,5310
14000US01013953200,40536,6168
14000US01009050700,42636,6417
14000US01011952100,20306,4996
14000US01011952200,26117,15328
14000US01011952500,49583,11984
14000US01013952700,51406,21239
14000US01013953300,53125,12287
14000US01009050602,63798,6114
14000US01013953400,30625,8313
14000US01013953500,37273,10336
14000US01015000200,30238,8199
14000US01015000300,20475,2150
14000US01015000400,24410,9521
14000US01015000500,16326,2833
14000US01015001300,33750,8234
14000US01015000600,17750,6753
14000US01015000700,31588,12005
14000US01015000800,28387,4820
14000US01015000900,40182,7576
14000US01015001000,55331,5340
14000US01015001400,42904,13125
14000US01015001100,58521,17937
14000US01015001201,32426,3538
14000US01015001800,53425,5538
14000US01015001500,45509,10962
14000US01015002000,62955,6101
14000US01015001202,48443,5830
14000US01015001600,38172,5782
14000US01015002101,20133,3301
14000US01015001700,45030,11528
14000US01015002102,65074,10178
14000US01015002600,54148,5960
14000US01015002103,39659,3599
14000US01015002200,45486,6581
14000US01015002300,27096,7975
14000US01015002400,56707,12152
14000US01015981901,,
14000US01015002501,68254,9634
14000US01015002502,53558,4621
14000US01017953900,42402,6281
14000US01015981902,,
14000US01015981903,,
14000US01017954000,37357,9400
14000US01017953800,37616,7614
14000US01017954200,41094,11191
14000US01017954300,41601,4738
14000US01019955800,44333,11638
14000US01017954400,26920,11494
14000US01017954500,32171,10585
14000US01017954600,37656,8634
14000US01017954700,45938,6199
14000US01019955900,46690,5446
14000US01019955701,41386,6649
14000US01019955702,31820,3934
14000US01021060102,48831,10293
14000US01021060200,48800,6327
14000US01021060300,51250,13553
14000US01019956000,45163,13166
14000US01019956100,38565,3209
14000US01021060401,45404,10847
14000US01021060402,41869,13783
14000US01021060101,42754,6456
14000US01025957700,34375,8218
14000US01023956900,47024,9941
14000US01023957000,29839,4552
14000US01025957500,31346,9783
14000US01021060500,51136,16892
14000US01021060600,47138,12870
14000US01021060700,38324,8423
14000US01023956700,31293,6258
14000US01023956800,34476,5143
14000US01025957800,38176,11430
14000US01025957601,39000,15327
14000US01025957901,30281,5122
14000US01025957602,38910,7743
14000US01025957902,36620,12653
14000US01025958001,43839,9391
14000US01031010200,47734,5451
14000US01029959500,44007,6429
14000US01029959600,27306,5274
14000US01029959700,43555,13878
14000US01029959800,42139,7274
14000US01025958002,22373,9187
14000US01027958900,50089,7741
14000US01027959000,26875,9013
14000US01027959100,46333,5902
14000US01027959200,35583,18483
14000US01031010300,59565,4298
14000US01031010100,41250,5208
14000US01031010400,43579,2799
14000US01031010500,42134,5180
14000US01031010600,37434,4409
14000US01031010700,53343,5399
14000US01033020300,23238,4344
14000US01031010800,64904,7052
14000US01031010900,49079,7328
14000US01031011000,45784,6467
14000US01031011100,37019,6801
14000US01031011201,80179,6888
14000US01031011202,54943,5470
14000US01031011300,32202,7259
14000US01033020100,35450,7097
14000US01033020200,31433,10086
14000US01033020400,58281,7764
14000US01033020500,57010,6155
14000US01033020600,40729,10619
14000US01033020703,52066,7212
14000US01033020701,63354,8892
14000US01033020704,57240,8834
14000US01035960500,19712,3740
14000US01033020801,52563,8340
14000US01033020802,45625,6395
14000US01033020901,46033,7858
14000US01033020902,41607,14295
14000US01033021000,41602,6260
14000US01035960200,39167,4901
14000US01035960300,34118,9532
14000US01035960400,31375,4456
14000US01035960600,34855,4604
14000US01037961000,32301,5478
14000US01039961600,56300,6994
14000US01037961100,45577,6913
14000US01039961700,41860,7870
14000US01037961200,39643,6360
14000US01039961800,34088,5188
14000US01039962100,31458,10528
14000US01039962700,26506,4982
14000US01039962300,44509,8851
14000US01039962400,48750,18137
